gate,family,run,task,condition,acc,acc_std,acc_minus_majority,loss_gain,label_gap,dispersion_delta,n,params,verdict,path
fail,graph_alias_probe_shared_vocab_1step_8n_e3,graph_alias_probe_shared_vocab_1step_8n_e3,graph_alias_probe_shared_vocab_1step_8n_e3,standard,0.48828125,0.0,-0.01171875,-1.0834236703813076,-0.7234018640592694,0.9221876501105726,1.0,247040.0,weak: training barely reduces answer loss,resonance/outputs/graph_alias_probe_shared_vocab_1step_8n_e3/results.json
partial,graph_alias_probe_shared_vocab_1step_8n_e3,graph_alias_probe_shared_vocab_1step_8n_e3,graph_alias_probe_shared_vocab_1step_8n_e3,resonance_full,0.64453125,0.0,0.14453125,-0.22389644756913185,0.9741712305694818,0.9798671500757337,1.0,314696.0,weak: training barely reduces answer loss,resonance/outputs/graph_alias_probe_shared_vocab_1step_8n_e3/results.json
partial,graph_alias_probe_shared_vocab_1step_8n_e3,graph_alias_probe_shared_vocab_1step_8n_e3,graph_alias_probe_shared_vocab_1step_8n_e3,bias_only_normalized,0.66015625,0.0,0.16015625,-0.33392978459596634,1.095390612957999,0.9559090037364513,1.0,314696.0,weak: training barely reduces answer loss,resonance/outputs/graph_alias_probe_shared_vocab_1step_8n_e3/results.json
fail,graph_alias_probe_shared_vocab_1step_8n_eval_epochs,graph_alias_probe_shared_vocab_1step_8n_eval_epochs,graph_alias_probe_shared_vocab_1step_8n_eval_epochs,standard,0.5,0.0,0.0,-1.3963428996503353,-0.8684317506849766,0.9886719225905836,1.0,247040.0,weak: training barely reduces answer loss,resonance/outputs/graph_alias_probe_shared_vocab_1step_8n_eval_epochs/results.json
partial,graph_alias_probe_shared_vocab_1step_8n_eval_epochs,graph_alias_probe_shared_vocab_1step_8n_eval_epochs,graph_alias_probe_shared_vocab_1step_8n_eval_epochs,resonance_full,0.55078125,0.0,0.05078125,-0.8360622674226761,0.8750008698552847,0.9960802691057324,1.0,314696.0,weak: training barely reduces answer loss,resonance/outputs/graph_alias_probe_shared_vocab_1step_8n_eval_epochs/results.json
partial,graph_alias_probe_shared_vocab_1step_8n_eval_epochs,graph_alias_probe_shared_vocab_1step_8n_eval_epochs,graph_alias_probe_shared_vocab_1step_8n_eval_epochs,bias_only_normalized,0.69140625,0.0,0.19140625,-0.46424564719200134,1.1946802611928433,0.9133120675105602,1.0,314696.0,weak: training barely reduces answer loss,resonance/outputs/graph_alias_probe_shared_vocab_1step_8n_eval_epochs/results.json
fail,graph_alias_probe_shared_vocab_1step_8n_lr1e4,graph_alias_probe_shared_vocab_1step_8n_lr1e4,graph_alias_probe_shared_vocab_1step_8n_lr1e4,standard,0.51171875,0.0,0.01171875,-0.8623270727694035,-0.6683226895984262,0.944854402448982,1.0,247040.0,weak: training barely reduces answer loss,resonance/outputs/graph_alias_probe_shared_vocab_1step_8n_lr1e4/results.json
fail,graph_alias_probe_shared_vocab_1step_8n_lr1e4,graph_alias_probe_shared_vocab_1step_8n_lr1e4,graph_alias_probe_shared_vocab_1step_8n_lr1e4,resonance_full,0.546875,0.0,0.046875,-0.6440858170390129,-0.2870308782439679,0.9684780733659863,1.0,314696.0,weak: training barely reduces answer loss,resonance/outputs/graph_alias_probe_shared_vocab_1step_8n_lr1e4/results.json
partial,graph_alias_probe_shared_vocab_1step_8n_lr1e4,graph_alias_probe_shared_vocab_1step_8n_lr1e4,graph_alias_probe_shared_vocab_1step_8n_lr1e4,bias_only_normalized,0.61328125,0.0,0.11328125,-0.47626806795597076,0.448582174256444,0.9606934089679271,1.0,314696.0,weak: training barely reduces answer loss,resonance/outputs/graph_alias_probe_shared_vocab_1step_8n_lr1e4/results.json
fail,graph_alias_probe_shared_vocab_2step,graph_alias_probe_shared_vocab_2step,graph_alias_probe_shared_vocab_2step,standard,0.453125,0.0,-0.046875,-0.7346972674131393,-0.5330467876046896,0.8228253191336989,1.0,263424.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_shared_vocab_2step/results.json
fail,graph_alias_probe_shared_vocab_2step,graph_alias_probe_shared_vocab_2step,graph_alias_probe_shared_vocab_2step,resonance_full,0.4453125,0.0,-0.0546875,-0.4908216893672943,-0.30852825846523046,0.5490895200055093,1.0,331080.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_shared_vocab_2step/results.json
fail,graph_alias_probe_shared_vocab_2step,graph_alias_probe_shared_vocab_2step,graph_alias_probe_shared_vocab_2step,bias_only_normalized,0.4765625,0.0,-0.0234375,-0.682554341852665,-0.4450395260937512,0.7025413883384317,1.0,331080.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_shared_vocab_2step/results.json
partial,graph_alias_probe_smoke,graph_alias_probe_smoke,graph_alias_probe_smoke,standard,0.5,0.0,0.0,-0.057952672243118286,0.0007447469979524612,-0.0026526579167693853,1.0,181504.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_smoke/results.json
partial,graph_alias_probe_smoke,graph_alias_probe_smoke,graph_alias_probe_smoke,resonance_full,0.5,0.0,0.0,-0.004869699478149414,0.0008323900401592255,7.780687883496284e-05,1.0,216392.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_smoke/results.json
partial,graph_alias_probe_smoke_same,graph_alias_probe_smoke_same,graph_alias_probe_smoke_same,standard,0.5,0.0,0.0,-0.06289651989936829,0.0026979707181453705,-0.0016884980723261833,1.0,181504.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_smoke_same/results.json
partial,graph_alias_probe_smoke_same,graph_alias_probe_smoke_same,graph_alias_probe_smoke_same,resonance_full,0.5,0.0,0.0,0.018385589122772217,0.004746420308947563,6.912834942340851e-05,1.0,216392.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_smoke_same/results.json
fail,graph_alias_probe_unseen_medium,graph_alias_probe_unseen_medium,graph_alias_probe_unseen_medium,standard,0.5,0.0,0.0,-1.1808455511927605,-0.0008625304326415062,0.0034593986347317696,1.0,181504.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_unseen_medium/results.json
partial,graph_alias_probe_unseen_medium,graph_alias_probe_unseen_medium,graph_alias_probe_unseen_medium,resonance_full,0.25,0.0,-0.25,-2.0685239136219025,0.615355949383229,0.7471649618819356,1.0,216392.0,weak: no condition beats majority baseline by 5 points,resonance/outputs/graph_alias_probe_unseen_medium/results.json
